RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597662224025	 	3.3.1
REQUEST	39		requestAggregation_fintonic_products	1597662237016	1597662237285	OK	 
USER	AggRestSimulationFintonicProducts	46	START	1597662237297	1597662237297
REQUEST	40		requestAggregation_fintonic_products	1597662237059	1597662237299	OK	 
REQUEST	43		requestAggregation_fintonic_products	1597662237176	1597662237304	OK	 
USER	AggRestSimulationFintonicProducts	47	START	1597662237333	1597662237333
REQUEST	42		requestAggregation_fintonic_products	1597662237140	1597662237348	OK	 
USER	AggRestSimulationFintonicProducts	48	START	1597662237374	1597662237374
REQUEST	46		requestAggregation_fintonic_products	1597662237298	1597662237389	OK	 
USER	AggRestSimulationFintonicProducts	49	START	1597662237415	1597662237415
REQUEST	44		requestAggregation_fintonic_products	1597662237216	1597662237425	OK	 
REQUEST	45		requestAggregation_fintonic_products	1597662237258	1597662237447	OK	 
USER	AggRestSimulationFintonicProducts	50	START	1597662237456	1597662237456
REQUEST	48		requestAggregation_fintonic_products	1597662237376	1597662237483	OK	 
USER	AggRestSimulationFintonicProducts	51	START	1597662237497	1597662237497
USER	AggRestSimulationFintonicProducts	52	START	1597662237538	1597662237538
REQUEST	47		requestAggregation_fintonic_products	1597662237335	1597662237538	OK	 
USER	AggRestSimulationFintonicProducts	53	START	1597662237574	1597662237574
USER	AggRestSimulationFintonicProducts	54	START	1597662237615	1597662237615
REQUEST	49		requestAggregation_fintonic_products	1597662237416	1597662237631	OK	 
REQUEST	51		requestAggregation_fintonic_products	1597662237499	1597662237648	OK	 
USER	AggRestSimulationFintonicProducts	55	START	1597662237656	1597662237656
REQUEST	53		requestAggregation_fintonic_products	1597662237576	1597662237691	OK	 
USER	AggRestSimulationFintonicProducts	56	START	1597662237697	1597662237697
REQUEST	50		requestAggregation_fintonic_products	1597662237458	1597662237727	OK	 
USER	AggRestSimulationFintonicProducts	57	START	1597662237738	1597662237738
REQUEST	52		requestAggregation_fintonic_products	1597662237540	1597662237757	OK	 
USER	AggRestSimulationFintonicProducts	58	START	1597662237774	1597662237774
USER	AggRestSimulationFintonicProducts	59	START	1597662237815	1597662237815
REQUEST	55		requestAggregation_fintonic_products	1597662237657	1597662237827	OK	 
