RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1598539381775	 	3.3.1
USER	AggRestSimulationLogin	1	START	1598539383273	1598539383273
USER	AggRestSimulationSomeProducts	2	START	1598539383276	1598539383276
USER	AggRestSimulationSomeProducts	3	START	1598539383343	1598539383343
USER	AggRestSimulationSomeProducts	4	START	1598539383398	1598539383398
USER	AggRestSimulationSomeProducts	5	START	1598539383461	1598539383461
REQUEST	3		requestAggregation_some_products	1598539383345	1598539383381	KO	status.find.in(200,202), but actually found 401
REQUEST	2		requestAggregation_some_products	1598539383321	1598539383366	KO	status.find.in(200,202), but actually found 401
REQUEST	4		requestAggregation_some_products	1598539383400	1598539383430	KO	status.find.in(200,202), but actually found 401
REQUEST	1		login	1598539383313	1598539383389	OK	 
USER	AggRestSimulationSomeProducts	2	END	1598539383276	1598539383483
USER	AggRestSimulationLogin	1	END	1598539383273	1598539383483
USER	AggRestSimulationSomeProducts	3	END	1598539383343	1598539383483
USER	AggRestSimulationSomeProducts	4	END	1598539383398	1598539383483
REQUEST	5		requestAggregation_some_products	1598539383471	1598539383508	KO	status.find.in(200,202), but actually found 401
USER	AggRestSimulationSomeProducts	5	END	1598539383461	1598539383510
USER	AggRestSimulationSomeProducts	6	START	1598539383512	1598539383512
USER	AggRestSimulationSomeProducts	7	START	1598539383568	1598539383568
USER	AggRestSimulationSomeProducts	8	START	1598539383629	1598539383629
REQUEST	6		requestAggregation_some_products	1598539383514	1598539383678	OK	 
USER	AggRestSimulationSomeProducts	9	START	1598539383691	1598539383691
REQUEST	7		requestAggregation_some_products	1598539383569	1598539383734	OK	 
USER	AggRestSimulationSomeProducts	10	START	1598539383753	1598539383753
REQUEST	8		requestAggregation_some_products	1598539383633	1598539383804	OK	 
USER	AggRestSimulationSomeProducts	11	START	1598539383809	1598539383809
USER	AggRestSimulationSomeProducts	12	START	1598539383871	1598539383871
REQUEST	9		requestAggregation_some_products	1598539383693	1598539383885	OK	 
REQUEST	10		requestAggregation_some_products	1598539383756	1598539383904	OK	 
USER	AggRestSimulationSomeProducts	13	START	1598539383933	1598539383933
REQUEST	11		requestAggregation_some_products	1598539383810	1598539383981	OK	 
USER	AggRestSimulationSomeProducts	14	START	1598539383990	1598539383990
REQUEST	12		requestAggregation_some_products	1598539383875	1598539384041	OK	 
USER	AggRestSimulationSomeProducts	15	START	1598539384053	1598539384053
USER	AggRestSimulationSomeProducts	16	START	1598539384109	1598539384109
REQUEST	13		requestAggregation_some_products	1598539383939	1598539384113	OK	 
