RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597138323490	 	3.0.3
REQUEST	57		login	1597138326196	1597138326226	OK	 
USER	AggRestSimulation	59	START	1597138326236	1597138326236
REQUEST	58		login	1597138326217	1597138326245	OK	 
USER	AggRestSimulation	60	START	1597138326257	1597138326257
REQUEST	59		login	1597138326237	1597138326267	OK	 
USER	AggRestSimulation	61	START	1597138326272	1597138326272
REQUEST	60		login	1597138326258	1597138326289	OK	 
USER	AggRestSimulation	62	START	1597138326292	1597138326292
REQUEST	61		login	1597138326273	1597138326304	OK	 
USER	AggRestSimulation	63	START	1597138326313	1597138326313
REQUEST	62		login	1597138326293	1597138326325	OK	 
USER	AggRestSimulation	64	START	1597138326334	1597138326334
USER	AggRestSimulation	65	START	1597138326354	1597138326354
REQUEST	63		login	1597138326314	1597138326364	OK	 
USER	AggRestSimulation	66	START	1597138326375	1597138326375
REQUEST	65		login	1597138326355	1597138326385	OK	 
REQUEST	64		login	1597138326335	1597138326385	OK	 
USER	AggRestSimulation	67	START	1597138326396	1597138326396
REQUEST	66		login	1597138326377	1597138326411	OK	 
USER	AggRestSimulation	68	START	1597138326417	1597138326417
REQUEST	67		login	1597138326397	1597138326429	OK	 
USER	AggRestSimulation	69	START	1597138326437	1597138326437
REQUEST	68		login	1597138326417	1597138326448	OK	 
USER	AggRestSimulation	70	START	1597138326452	1597138326452
REQUEST	69		login	1597138326439	1597138326470	OK	 
USER	AggRestSimulation	71	START	1597138326473	1597138326473
REQUEST	70		login	1597138326455	1597138326496	OK	 
USER	AggRestSimulation	72	START	1597138326504	1597138326504
REQUEST	71		login	1597138326477	1597138326508	OK	 
USER	AggRestSimulation	73	START	1597138326514	1597138326514
USER	AggRestSimulation	74	START	1597138326535	1597138326535
REQUEST	72		login	1597138326505	1597138326537	OK	 
REQUEST	73		login	1597138326515	1597138326546	OK	 
USER	AggRestSimulation	75	START	1597138326555	1597138326555
USER	AggRestSimulation	76	START	1597138326576	1597138326576
USER	AggRestSimulation	77	START	1597138326596	1597138326596
REQUEST	74		login	1597138326536	1597138326600	OK	 
USER	AggRestSimulation	78	START	1597138326617	1597138326617
REQUEST	76		login	1597138326577	1597138326619	OK	 
REQUEST	75		login	1597138326557	1597138326619	OK	 
REQUEST	77		login	1597138326597	1597138326630	OK	 
USER	AggRestSimulation	79	START	1597138326632	1597138326632
USER	AggRestSimulation	80	START	1597138326653	1597138326653
REQUEST	78		login	1597138326618	1597138326653	OK	 
REQUEST	79		login	1597138326633	1597138326667	OK	 
USER	AggRestSimulation	81	START	1597138326673	1597138326673
REQUEST	80		login	1597138326654	1597138326682	OK	 
USER	AggRestSimulation	82	START	1597138326705	1597138326705
REQUEST	81		login	1597138326674	1597138326707	OK	 
USER	AggRestSimulation	83	START	1597138326715	1597138326715
USER	AggRestSimulation	84	START	1597138326736	1597138326736
REQUEST	82		login	1597138326707	1597138326736	OK	 
REQUEST	83		login	1597138326716	1597138326748	OK	 
USER	AggRestSimulation	85	START	1597138326756	1597138326756
REQUEST	84		login	1597138326737	1597138326767	OK	 
USER	AggRestSimulation	86	START	1597138326777	1597138326777
REQUEST	85		login	1597138326758	1597138326789	OK	 
USER	AggRestSimulation	87	START	1597138326802	1597138326802
REQUEST	86		login	1597138326778	1597138326810	OK	 
USER	AggRestSimulation	88	START	1597138326812	1597138326812
USER	AggRestSimulation	89	START	1597138326833	1597138326833
REQUEST	87		login	1597138326803	1597138326835	OK	 
