RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597663891453	 	3.3.1
USER	AggRestSimulationLogin	1	START	1597663893184	1597663893184
REQUEST	1		login	1597663893266	1597663893491	OK	 
USER	AggRestSimulationLogin	1	END	1597663893184	1597663893646
USER	AggRestSimulationFintonicProducts	2	START	1597663903187	1597663903187
USER	AggRestSimulationFintonicProducts	3	START	1597663903198	1597663903198
USER	AggRestSimulationFintonicProducts	4	START	1597663903260	1597663903260
USER	AggRestSimulationFintonicProducts	5	START	1597663903295	1597663903295
USER	AggRestSimulationFintonicProducts	6	START	1597663903336	1597663903336
USER	AggRestSimulationFintonicProducts	7	START	1597663903377	1597663903377
REQUEST	2		requestAggregation_fintonic_products	1597663903197	1597663903414	OK	 
REQUEST	3		requestAggregation_fintonic_products	1597663903202	1597663903415	OK	 
USER	AggRestSimulationFintonicProducts	8	START	1597663903418	1597663903418
USER	AggRestSimulationFintonicProducts	9	START	1597663903455	1597663903455
REQUEST	4		requestAggregation_fintonic_products	1597663903266	1597663903469	OK	 
REQUEST	5		requestAggregation_fintonic_products	1597663903298	1597663903490	OK	 
USER	AggRestSimulationFintonicProducts	10	START	1597663903496	1597663903496
USER	AggRestSimulationFintonicProducts	11	START	1597663903537	1597663903537
REQUEST	6		requestAggregation_fintonic_products	1597663903338	1597663903537	OK	 
USER	AggRestSimulationFintonicProducts	12	START	1597663903579	1597663903579
USER	AggRestSimulationFintonicProducts	13	START	1597663903620	1597663903620
USER	AggRestSimulationFintonicProducts	14	START	1597663903655	1597663903655
USER	AggRestSimulationFintonicProducts	15	START	1597663903696	1597663903696
USER	AggRestSimulationFintonicProducts	16	START	1597663903737	1597663903737
USER	AggRestSimulationFintonicProducts	17	START	1597663903778	1597663903778
USER	AggRestSimulationFintonicProducts	18	START	1597663903819	1597663903819
REQUEST	9		requestAggregation_fintonic_products	1597663903458	1597663903838	OK	 
REQUEST	10		requestAggregation_fintonic_products	1597663903499	1597663903839	OK	 
REQUEST	11		requestAggregation_fintonic_products	1597663903539	1597663903839	OK	 
REQUEST	7		requestAggregation_fintonic_products	1597663903381	1597663903853	OK	 
USER	AggRestSimulationFintonicProducts	19	START	1597663903857	1597663903857
REQUEST	8		requestAggregation_fintonic_products	1597663903420	1597663903896	OK	 
USER	AggRestSimulationFintonicProducts	20	START	1597663903900	1597663903900
USER	AggRestSimulationFintonicProducts	21	START	1597663903940	1597663903940
USER	AggRestSimulationFintonicProducts	22	START	1597663903975	1597663903975
USER	AggRestSimulationFintonicProducts	23	START	1597663904017	1597663904017
REQUEST	16		requestAggregation_fintonic_products	1597663903739	1597663904021	OK	 
REQUEST	13		requestAggregation_fintonic_products	1597663903622	1597663904026	OK	 
REQUEST	18		requestAggregation_fintonic_products	1597663903820	1597663904028	OK	 
REQUEST	14		requestAggregation_fintonic_products	1597663903659	1597663904049	OK	 
USER	AggRestSimulationFintonicProducts	24	START	1597663904058	1597663904058
REQUEST	15		requestAggregation_fintonic_products	1597663903698	1597663904066	OK	 
USER	AggRestSimulationFintonicProducts	25	START	1597663904099	1597663904099
REQUEST	17		requestAggregation_fintonic_products	1597663903780	1597663904114	OK	 
REQUEST	20		requestAggregation_fintonic_products	1597663903904	1597663904116	OK	 
REQUEST	19		requestAggregation_fintonic_products	1597663903862	1597663904119	OK	 
REQUEST	21		requestAggregation_fintonic_products	1597663903945	1597663904122	OK	 
USER	AggRestSimulationFintonicProducts	26	START	1597663904135	1597663904135
USER	AggRestSimulationFintonicProducts	27	START	1597663904176	1597663904176
REQUEST	22		requestAggregation_fintonic_products	1597663903979	1597663904179	OK	 
REQUEST	23		requestAggregation_fintonic_products	1597663904021	1597663904215	OK	 
USER	AggRestSimulationFintonicProducts	28	START	1597663904217	1597663904217
USER	AggRestSimulationFintonicProducts	29	START	1597663904269	1597663904269
REQUEST	26		requestAggregation_fintonic_products	1597663904138	1597663904301	OK	 
USER	AggRestSimulationFintonicProducts	30	START	1597663904310	1597663904310
REQUEST	25		requestAggregation_fintonic_products	1597663904104	1597663904313	OK	 
USER	AggRestSimulationFintonicProducts	31	START	1597663904346	1597663904346
REQUEST	28		requestAggregation_fintonic_products	1597663904218	1597663904371	OK	 
REQUEST	27		requestAggregation_fintonic_products	1597663904180	1597663904371	OK	 
REQUEST	24		requestAggregation_fintonic_products	1597663904064	1597663904372	OK	 
USER	AggRestSimulationFintonicProducts	32	START	1597663904387	1597663904387
USER	AggRestSimulationFintonicProducts	33	START	1597663904429	1597663904429
REQUEST	29		requestAggregation_fintonic_products	1597663904272	1597663904445	OK	 
USER	AggRestSimulationFintonicProducts	34	START	1597663904470	1597663904470
USER	AggRestSimulationFintonicProducts	35	START	1597663904505	1597663904505
REQUEST	31		requestAggregation_fintonic_products	1597663904349	1597663904510	OK	 
REQUEST	30		requestAggregation_fintonic_products	1597663904314	1597663904515	OK	 
USER	AggRestSimulationFintonicProducts	36	START	1597663904547	1597663904547
USER	AggRestSimulationFintonicProducts	37	START	1597663904588	1597663904588
REQUEST	33		requestAggregation_fintonic_products	1597663904432	1597663904592	OK	 
REQUEST	32		requestAggregation_fintonic_products	1597663904389	1597663904615	OK	 
USER	AggRestSimulationFintonicProducts	38	START	1597663904629	1597663904629
USER	AggRestSimulationFintonicProducts	39	START	1597663904666	1597663904666
REQUEST	34		requestAggregation_fintonic_products	1597663904472	1597663904672	OK	 
USER	AggRestSimulationFintonicProducts	40	START	1597663904709	1597663904709
REQUEST	12		requestAggregation_fintonic_products	1597663903580	1597663904732	OK	 
USER	AggRestSimulationFintonicProducts	41	START	1597663904745	1597663904745
REQUEST	35		requestAggregation_fintonic_products	1597663904508	1597663904752	OK	 
REQUEST	37		requestAggregation_fintonic_products	1597663904589	1597663904770	OK	 
REQUEST	36		requestAggregation_fintonic_products	1597663904549	1597663904773	OK	 
USER	AggRestSimulationFintonicProducts	42	START	1597663904785	1597663904785
REQUEST	38		requestAggregation_fintonic_products	1597663904632	1597663904816	OK	 
USER	AggRestSimulationFintonicProducts	43	START	1597663904826	1597663904826
USER	AggRestSimulationFintonicProducts	44	START	1597663904867	1597663904867
REQUEST	39		requestAggregation_fintonic_products	1597663904669	1597663904879	OK	 
REQUEST	41		requestAggregation_fintonic_products	1597663904747	1597663904879	OK	 
USER	AggRestSimulationFintonicProducts	45	START	1597663904908	1597663904908
REQUEST	40		requestAggregation_fintonic_products	1597663904713	1597663904932	OK	 
USER	AggRestSimulationFintonicProducts	46	START	1597663904950	1597663904950
REQUEST	42		requestAggregation_fintonic_products	1597663904788	1597663904972	OK	 
REQUEST	43		requestAggregation_fintonic_products	1597663904830	1597663904981	OK	 
USER	AggRestSimulationFintonicProducts	47	START	1597663904985	1597663904985
USER	AggRestSimulationFintonicProducts	48	START	1597663905027	1597663905027
USER	AggRestSimulationFintonicProducts	49	START	1597663905069	1597663905069
REQUEST	44		requestAggregation_fintonic_products	1597663904871	1597663905074	OK	 
REQUEST	45		requestAggregation_fintonic_products	1597663904910	1597663905084	OK	 
REQUEST	46		requestAggregation_fintonic_products	1597663904951	1597663905087	OK	 
USER	AggRestSimulationFintonicProducts	50	START	1597663905105	1597663905105
USER	AggRestSimulationFintonicProducts	51	START	1597663905147	1597663905147
REQUEST	47		requestAggregation_fintonic_products	1597663904987	1597663905161	OK	 
USER	AggRestSimulationFintonicProducts	52	START	1597663905185	1597663905185
USER	AggRestSimulationFintonicProducts	53	START	1597663905198	1597663905198
USER	AggRestSimulationFintonicProducts	54	START	1597663905257	1597663905257
REQUEST	48		requestAggregation_fintonic_products	1597663905033	1597663905265	OK	 
USER	AggRestSimulationFintonicProducts	55	START	1597663905295	1597663905295
REQUEST	49		requestAggregation_fintonic_products	1597663905071	1597663905297	OK	 
REQUEST	51		requestAggregation_fintonic_products	1597663905151	1597663905318	OK	 
REQUEST	50		requestAggregation_fintonic_products	1597663905107	1597663905318	OK	 
USER	AggRestSimulationFintonicProducts	56	START	1597663905336	1597663905336
REQUEST	53		requestAggregation_fintonic_products	1597663905202	1597663905366	OK	 
USER	AggRestSimulationFintonicProducts	57	START	1597663905378	1597663905378
REQUEST	52		requestAggregation_fintonic_products	1597663905188	1597663905397	OK	 
USER	AggRestSimulationFintonicProducts	58	START	1597663905419	1597663905419
