RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597401776540	 	3.3.1
USER	AggRestSimulationLogin	1	START	1597401778134	1597401778134
REQUEST	1		login	1597401778173	1597401778469	OK	 
USER	AggRestSimulationLogin	1	END	1597401778134	1597401778550
USER	AggRestSimulationAllProducts	2	START	1597401788136	1597401788136
USER	AggRestSimulationAllProducts	3	START	1597401788198	1597401788198
USER	AggRestSimulationAllProducts	4	START	1597401788259	1597401788259
USER	AggRestSimulationAllProducts	5	START	1597401788314	1597401788314
REQUEST	2		requestAggregation_all_products	1597401788145	1597401788353	OK	 
USER	AggRestSimulationAllProducts	6	START	1597401788375	1597401788375
REQUEST	3		requestAggregation_all_products	1597401788199	1597401788427	OK	 
REQUEST	4		requestAggregation_all_products	1597401788260	1597401788427	OK	 
USER	AggRestSimulationAllProducts	7	START	1597401788436	1597401788436
USER	AggRestSimulationAllProducts	8	START	1597401788498	1597401788498
USER	AggRestSimulationAllProducts	9	START	1597401788559	1597401788559
REQUEST	5		requestAggregation_all_products	1597401788315	1597401788572	OK	 
USER	AggRestSimulationAllProducts	10	START	1597401788614	1597401788614
REQUEST	6		requestAggregation_all_products	1597401788376	1597401788630	OK	 
USER	AggRestSimulationAllProducts	11	START	1597401788666	1597401788666
REQUEST	7		requestAggregation_all_products	1597401788438	1597401788678	OK	 
USER	AggRestSimulationAllProducts	12	START	1597401788727	1597401788727
USER	AggRestSimulationAllProducts	13	START	1597401788789	1597401788789
REQUEST	8		requestAggregation_all_products	1597401788499	1597401788805	OK	 
USER	AggRestSimulationAllProducts	14	START	1597401788844	1597401788844
REQUEST	10		requestAggregation_all_products	1597401788616	1597401788846	OK	 
REQUEST	9		requestAggregation_all_products	1597401788560	1597401788871	OK	 
USER	AggRestSimulationAllProducts	15	START	1597401788906	1597401788906
REQUEST	11		requestAggregation_all_products	1597401788667	1597401788940	OK	 
USER	AggRestSimulationAllProducts	16	START	1597401788967	1597401788967
REQUEST	12		requestAggregation_all_products	1597401788728	1597401788969	OK	 
REQUEST	13		requestAggregation_all_products	1597401788790	1597401789026	OK	 
USER	AggRestSimulationAllProducts	17	START	1597401789029	1597401789029
REQUEST	14		requestAggregation_all_products	1597401788845	1597401789046	OK	 
USER	AggRestSimulationAllProducts	18	START	1597401789085	1597401789085
USER	AggRestSimulationAllProducts	19	START	1597401789147	1597401789147
REQUEST	15		requestAggregation_all_products	1597401788907	1597401789147	OK	 
REQUEST	16		requestAggregation_all_products	1597401788969	1597401789191	OK	 
USER	AggRestSimulationAllProducts	20	START	1597401789198	1597401789198
USER	AggRestSimulationAllProducts	21	START	1597401789254	1597401789254
REQUEST	17		requestAggregation_all_products	1597401789030	1597401789275	OK	 
USER	AggRestSimulationAllProducts	22	START	1597401789316	1597401789316
REQUEST	18		requestAggregation_all_products	1597401789087	1597401789372	OK	 
USER	AggRestSimulationAllProducts	23	START	1597401789377	1597401789377
REQUEST	19		requestAggregation_all_products	1597401789149	1597401789384	OK	 
REQUEST	20		requestAggregation_all_products	1597401789199	1597401789434	OK	 
USER	AggRestSimulationAllProducts	24	START	1597401789439	1597401789439
REQUEST	21		requestAggregation_all_products	1597401789256	1597401789483	OK	 
USER	AggRestSimulationAllProducts	25	START	1597401789495	1597401789495
USER	AggRestSimulationAllProducts	26	START	1597401789556	1597401789556
USER	AggRestSimulationAllProducts	27	START	1597401789617	1597401789617
REQUEST	23		requestAggregation_all_products	1597401789378	1597401789641	OK	 
USER	AggRestSimulationAllProducts	28	START	1597401789668	1597401789668
REQUEST	22		requestAggregation_all_products	1597401789317	1597401789689	OK	 
USER	AggRestSimulationAllProducts	29	START	1597401789724	1597401789724
REQUEST	24		requestAggregation_all_products	1597401789440	1597401789756	OK	 
REQUEST	25		requestAggregation_all_products	1597401789496	1597401789759	OK	 
USER	AggRestSimulationAllProducts	30	START	1597401789786	1597401789786
USER	AggRestSimulationAllProducts	31	START	1597401789847	1597401789847
REQUEST	26		requestAggregation_all_products	1597401789558	1597401789851	OK	 
USER	AggRestSimulationAllProducts	32	START	1597401789909	1597401789909
REQUEST	27		requestAggregation_all_products	1597401789618	1597401789910	OK	 
USER	AggRestSimulationAllProducts	33	START	1597401789965	1597401789965
REQUEST	28		requestAggregation_all_products	1597401789670	1597401789997	OK	 
REQUEST	29		requestAggregation_all_products	1597401789725	1597401789997	OK	 
USER	AggRestSimulationAllProducts	34	START	1597401790026	1597401790026
REQUEST	30		requestAggregation_all_products	1597401789788	1597401790035	OK	 
USER	AggRestSimulationAllProducts	35	START	1597401790088	1597401790088
REQUEST	31		requestAggregation_all_products	1597401789849	1597401790093	OK	 
USER	AggRestSimulationAllProducts	36	START	1597401790144	1597401790144
REQUEST	32		requestAggregation_all_products	1597401789910	1597401790171	OK	 
USER	AggRestSimulationAllProducts	37	START	1597401790205	1597401790205
REQUEST	33		requestAggregation_all_products	1597401789966	1597401790216	OK	 
REQUEST	34		requestAggregation_all_products	1597401790027	1597401790261	OK	 
USER	AggRestSimulationAllProducts	38	START	1597401790267	1597401790267
USER	AggRestSimulationAllProducts	39	START	1597401790318	1597401790318
USER	AggRestSimulationAllProducts	40	START	1597401790379	1597401790379
REQUEST	36		requestAggregation_all_products	1597401790145	1597401790380	OK	 
REQUEST	35		requestAggregation_all_products	1597401790089	1597401790387	OK	 
USER	AggRestSimulationAllProducts	41	START	1597401790434	1597401790434
REQUEST	38		requestAggregation_all_products	1597401790268	1597401790451	OK	 
USER	AggRestSimulationAllProducts	42	START	1597401790504	1597401790504
REQUEST	37		requestAggregation_all_products	1597401790206	1597401790504	OK	 
USER	AggRestSimulationAllProducts	43	START	1597401790555	1597401790555
REQUEST	39		requestAggregation_all_products	1597401790319	1597401790576	OK	 
USER	AggRestSimulationAllProducts	44	START	1597401790616	1597401790616
REQUEST	40		requestAggregation_all_products	1597401790380	1597401790643	OK	 
REQUEST	41		requestAggregation_all_products	1597401790435	1597401790673	OK	 
USER	AggRestSimulationAllProducts	45	START	1597401790678	1597401790678
USER	AggRestSimulationAllProducts	46	START	1597401790734	1597401790734
USER	AggRestSimulationAllProducts	47	START	1597401790795	1597401790795
USER	AggRestSimulationAllProducts	48	START	1597401790847	1597401790847
USER	AggRestSimulationAllProducts	49	START	1597401790908	1597401790908
USER	AggRestSimulationAllProducts	50	START	1597401790964	1597401790964
REQUEST	44		requestAggregation_all_products	1597401790618	1597401790984	OK	 
REQUEST	43		requestAggregation_all_products	1597401790556	1597401790997	OK	 
REQUEST	45		requestAggregation_all_products	1597401790679	1597401791013	OK	 
USER	AggRestSimulationAllProducts	51	START	1597401791026	1597401791026
REQUEST	42		requestAggregation_all_products	1597401790505	1597401791030	OK	 
REQUEST	46		requestAggregation_all_products	1597401790735	1597401791077	OK	 
USER	AggRestSimulationAllProducts	52	START	1597401791087	1597401791087
USER	AggRestSimulationAllProducts	53	START	1597401791149	1597401791149
REQUEST	47		requestAggregation_all_products	1597401790797	1597401791151	OK	 
USER	AggRestSimulationAllProducts	54	START	1597401791194	1597401791194
REQUEST	49		requestAggregation_all_products	1597401790909	1597401791220	OK	 
REQUEST	48		requestAggregation_all_products	1597401790848	1597401791232	OK	 
USER	AggRestSimulationAllProducts	55	START	1597401791256	1597401791256
REQUEST	50		requestAggregation_all_products	1597401790965	1597401791270	OK	 
USER	AggRestSimulationAllProducts	56	START	1597401791318	1597401791318
REQUEST	51		requestAggregation_all_products	1597401791027	1597401791353	OK	 
REQUEST	52		requestAggregation_all_products	1597401791089	1597401791353	OK	 
USER	AggRestSimulationAllProducts	57	START	1597401791379	1597401791379
USER	AggRestSimulationAllProducts	58	START	1597401791434	1597401791434
REQUEST	53		requestAggregation_all_products	1597401791150	1597401791451	OK	 
REQUEST	54		requestAggregation_all_products	1597401791195	1597401791467	OK	 
USER	AggRestSimulationAllProducts	59	START	1597401791495	1597401791495
REQUEST	55		requestAggregation_all_products	1597401791257	1597401791542	OK	 
USER	AggRestSimulationAllProducts	60	START	1597401791546	1597401791546
REQUEST	56		requestAggregation_all_products	1597401791319	1597401791548	OK	 
USER	AggRestSimulationAllProducts	61	START	1597401791607	1597401791607
REQUEST	58		requestAggregation_all_products	1597401791435	1597401791649	OK	 
REQUEST	57		requestAggregation_all_products	1597401791380	1597401791662	OK	 
USER	AggRestSimulationAllProducts	62	START	1597401791668	1597401791668
USER	AggRestSimulationAllProducts	63	START	1597401791724	1597401791724
USER	AggRestSimulationAllProducts	64	START	1597401791785	1597401791785
REQUEST	59		requestAggregation_all_products	1597401791496	1597401791810	OK	 
REQUEST	60		requestAggregation_all_products	1597401791547	1597401791839	OK	 
USER	AggRestSimulationAllProducts	65	START	1597401791847	1597401791847
USER	AggRestSimulationAllProducts	66	START	1597401791908	1597401791908
REQUEST	61		requestAggregation_all_products	1597401791608	1597401791928	OK	 
USER	AggRestSimulationAllProducts	67	START	1597401791964	1597401791964
REQUEST	62		requestAggregation_all_products	1597401791669	1597401791986	OK	 
REQUEST	63		requestAggregation_all_products	1597401791725	1597401791998	OK	 
USER	AggRestSimulationAllProducts	68	START	1597401792025	1597401792025
USER	AggRestSimulationAllProducts	69	START	1597401792077	1597401792077
REQUEST	65		requestAggregation_all_products	1597401791849	1597401792117	OK	 
REQUEST	64		requestAggregation_all_products	1597401791786	1597401792122	OK	 
USER	AggRestSimulationAllProducts	70	START	1597401792138	1597401792138
REQUEST	66		requestAggregation_all_products	1597401791909	1597401792193	OK	 
USER	AggRestSimulationAllProducts	71	START	1597401792199	1597401792199
USER	AggRestSimulationAllProducts	72	START	1597401792255	1597401792255
REQUEST	67		requestAggregation_all_products	1597401791965	1597401792278	OK	 
REQUEST	68		requestAggregation_all_products	1597401792026	1597401792280	OK	 
USER	AggRestSimulationAllProducts	73	START	1597401792316	1597401792316
REQUEST	69		requestAggregation_all_products	1597401792077	1597401792358	OK	 
USER	AggRestSimulationAllProducts	74	START	1597401792378	1597401792378
REQUEST	70		requestAggregation_all_products	1597401792138	1597401792391	OK	 
USER	AggRestSimulationAllProducts	75	START	1597401792434	1597401792434
USER	AggRestSimulationAllProducts	76	START	1597401792495	1597401792495
REQUEST	71		requestAggregation_all_products	1597401792200	1597401792507	OK	 
USER	AggRestSimulationAllProducts	77	START	1597401792556	1597401792556
REQUEST	73		requestAggregation_all_products	1597401792317	1597401792561	OK	 
USER	AggRestSimulationAllProducts	78	START	1597401792608	1597401792608
REQUEST	72		requestAggregation_all_products	1597401792256	1597401792615	OK	 
REQUEST	74		requestAggregation_all_products	1597401792379	1597401792636	OK	 
USER	AggRestSimulationAllProducts	79	START	1597401792664	1597401792664
REQUEST	75		requestAggregation_all_products	1597401792435	1597401792700	OK	 
USER	AggRestSimulationAllProducts	80	START	1597401792726	1597401792726
USER	AggRestSimulationAllProducts	81	START	1597401792787	1597401792787
REQUEST	76		requestAggregation_all_products	1597401792496	1597401792839	OK	 
USER	AggRestSimulationAllProducts	82	START	1597401792848	1597401792848
REQUEST	78		requestAggregation_all_products	1597401792608	1597401792856	OK	 
USER	AggRestSimulationAllProducts	83	START	1597401792905	1597401792905
REQUEST	77		requestAggregation_all_products	1597401792557	1597401792919	OK	 
REQUEST	79		requestAggregation_all_products	1597401792665	1597401792954	OK	 
USER	AggRestSimulationAllProducts	84	START	1597401792966	1597401792966
REQUEST	80		requestAggregation_all_products	1597401792726	1597401792990	OK	 
USER	AggRestSimulationAllProducts	85	START	1597401793028	1597401793028
REQUEST	81		requestAggregation_all_products	1597401792788	1597401793078	OK	 
USER	AggRestSimulationAllProducts	86	START	1597401793089	1597401793089
REQUEST	82		requestAggregation_all_products	1597401792850	1597401793118	OK	 
USER	AggRestSimulationAllProducts	87	START	1597401793135	1597401793135
REQUEST	83		requestAggregation_all_products	1597401792905	1597401793183	OK	 
USER	AggRestSimulationAllProducts	88	START	1597401793206	1597401793206
REQUEST	84		requestAggregation_all_products	1597401792967	1597401793210	OK	 
USER	AggRestSimulationAllProducts	89	START	1597401793257	1597401793257
REQUEST	85		requestAggregation_all_products	1597401793029	1597401793264	OK	 
USER	AggRestSimulationAllProducts	90	START	1597401793318	1597401793318
REQUEST	86		requestAggregation_all_products	1597401793090	1597401793348	OK	 
USER	AggRestSimulationAllProducts	91	START	1597401793374	1597401793374
REQUEST	87		requestAggregation_all_products	1597401793135	1597401793412	OK	 
USER	AggRestSimulationAllProducts	92	START	1597401793435	1597401793435
REQUEST	88		requestAggregation_all_products	1597401793207	1597401793469	OK	 
USER	AggRestSimulationAllProducts	93	START	1597401793497	1597401793497
REQUEST	89		requestAggregation_all_products	1597401793258	1597401793525	OK	 
USER	AggRestSimulationAllProducts	94	START	1597401793558	1597401793558
REQUEST	90		requestAggregation_all_products	1597401793319	1597401793599	OK	 
USER	AggRestSimulationAllProducts	95	START	1597401793619	1597401793619
REQUEST	91		requestAggregation_all_products	1597401793375	1597401793646	OK	 
REQUEST	92		requestAggregation_all_products	1597401793436	1597401793673	OK	 
USER	AggRestSimulationAllProducts	96	START	1597401793675	1597401793675
USER	AggRestSimulationAllProducts	97	START	1597401793737	1597401793737
REQUEST	93		requestAggregation_all_products	1597401793497	1597401793764	OK	 
USER	AggRestSimulationAllProducts	98	START	1597401793788	1597401793788
REQUEST	94		requestAggregation_all_products	1597401793559	1597401793837	OK	 
USER	AggRestSimulationAllProducts	99	START	1597401793844	1597401793844
USER	AggRestSimulationAllProducts	100	START	1597401793906	1597401793906
REQUEST	95		requestAggregation_all_products	1597401793620	1597401793928	OK	 
REQUEST	96		requestAggregation_all_products	1597401793676	1597401793940	OK	 
USER	AggRestSimulationAllProducts	101	START	1597401793967	1597401793967
REQUEST	97		requestAggregation_all_products	1597401793738	1597401793995	OK	 
USER	AggRestSimulationAllProducts	102	START	1597401794028	1597401794028
REQUEST	98		requestAggregation_all_products	1597401793789	1597401794074	OK	 
USER	AggRestSimulationAllProducts	103	START	1597401794084	1597401794084
REQUEST	99		requestAggregation_all_products	1597401793845	1597401794086	OK	 
USER	AggRestSimulationAllProducts	104	START	1597401794146	1597401794146
REQUEST	100		requestAggregation_all_products	1597401793906	1597401794162	OK	 
USER	AggRestSimulationAllProducts	105	START	1597401794197	1597401794197
REQUEST	101		requestAggregation_all_products	1597401793968	1597401794216	OK	 
USER	AggRestSimulationAllProducts	106	START	1597401794258	1597401794258
REQUEST	102		requestAggregation_all_products	1597401794029	1597401794281	OK	 
USER	AggRestSimulationAllProducts	107	START	1597401794314	1597401794314
REQUEST	103		requestAggregation_all_products	1597401794085	1597401794330	OK	 
USER	AggRestSimulationAllProducts	108	START	1597401794376	1597401794376
REQUEST	104		requestAggregation_all_products	1597401794146	1597401794412	OK	 
USER	AggRestSimulationAllProducts	109	START	1597401794437	1597401794437
REQUEST	105		requestAggregation_all_products	1597401794198	1597401794487	OK	 
USER	AggRestSimulationAllProducts	110	START	1597401794499	1597401794499
REQUEST	106		requestAggregation_all_products	1597401794259	1597401794512	OK	 
REQUEST	107		requestAggregation_all_products	1597401794315	1597401794529	OK	 
USER	AggRestSimulationAllProducts	111	START	1597401794555	1597401794555
REQUEST	108		requestAggregation_all_products	1597401794377	1597401794584	OK	 
USER	AggRestSimulationAllProducts	112	START	1597401794616	1597401794616
REQUEST	109		requestAggregation_all_products	1597401794438	1597401794651	OK	 
USER	AggRestSimulationAllProducts	113	START	1597401794677	1597401794677
REQUEST	110		requestAggregation_all_products	1597401794500	1597401794726	OK	 
USER	AggRestSimulationAllProducts	114	START	1597401794728	1597401794728
USER	AggRestSimulationAllProducts	115	START	1597401794784	1597401794784
REQUEST	111		requestAggregation_all_products	1597401794556	1597401794800	OK	 
USER	AggRestSimulationAllProducts	116	START	1597401794845	1597401794845
USER	AggRestSimulationAllProducts	117	START	1597401794906	1597401794906
REQUEST	112		requestAggregation_all_products	1597401794617	1597401794910	OK	 
REQUEST	113		requestAggregation_all_products	1597401794679	1597401794918	OK	 
REQUEST	114		requestAggregation_all_products	1597401794729	1597401794962	OK	 
USER	AggRestSimulationAllProducts	118	START	1597401794968	1597401794968
REQUEST	115		requestAggregation_all_products	1597401794785	1597401794997	OK	 
USER	AggRestSimulationAllProducts	119	START	1597401795024	1597401795024
REQUEST	116		requestAggregation_all_products	1597401794846	1597401795056	OK	 
USER	AggRestSimulationAllProducts	120	START	1597401795085	1597401795085
USER	AggRestSimulationAllProducts	121	START	1597401795146	1597401795146
USER	AggRestSimulationAllProducts	122	START	1597401795197	1597401795197
USER	AggRestSimulationAllProducts	123	START	1597401795257	1597401795257
USER	AggRestSimulationAllProducts	124	START	1597401795319	1597401795319
REQUEST	120		requestAggregation_all_products	1597401795086	1597401795332	OK	 
REQUEST	118		requestAggregation_all_products	1597401794969	1597401795361	OK	 
REQUEST	119		requestAggregation_all_products	1597401795025	1597401795361	OK	 
USER	AggRestSimulationAllProducts	125	START	1597401795374	1597401795374
REQUEST	121		requestAggregation_all_products	1597401795147	1597401795399	OK	 
REQUEST	122		requestAggregation_all_products	1597401795197	1597401795402	OK	 
USER	AggRestSimulationAllProducts	126	START	1597401795436	1597401795436
USER	AggRestSimulationAllProducts	127	START	1597401795497	1597401795497
REQUEST	123		requestAggregation_all_products	1597401795258	1597401795537	OK	 
USER	AggRestSimulationAllProducts	128	START	1597401795559	1597401795559
REQUEST	124		requestAggregation_all_products	1597401795320	1597401795569	OK	 
USER	AggRestSimulationAllProducts	129	START	1597401795614	1597401795614
REQUEST	125		requestAggregation_all_products	1597401795375	1597401795627	OK	 
USER	AggRestSimulationAllProducts	130	START	1597401795676	1597401795676
