RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1598539968333	 	3.3.1
USER	AggRestSimulationLogin	1	START	1598539969899	1598539969899
USER	AggRestSimulationSomeProducts	2	START	1598539969901	1598539969901
USER	AggRestSimulationSomeProducts	3	START	1598539969923	1598539969923
USER	AggRestSimulationSomeProducts	4	START	1598539969953	1598539969953
USER	AggRestSimulationSomeProducts	5	START	1598539969974	1598539969974
USER	AggRestSimulationSomeProducts	6	START	1598539969994	1598539969994
USER	AggRestSimulationSomeProducts	7	START	1598539970025	1598539970025
USER	AggRestSimulationSomeProducts	8	START	1598539970045	1598539970045
REQUEST	7		requestAggregation_some_products	1598539970029	1598539970055	KO	status.find.in(200,202), but actually found 401
REQUEST	6		requestAggregation_some_products	1598539969996	1598539970026	KO	status.find.in(200,202), but actually found 401
REQUEST	2		requestAggregation_some_products	1598539969937	1598539969988	KO	status.find.in(200,202), but actually found 401
REQUEST	3		requestAggregation_some_products	1598539969942	1598539969988	KO	status.find.in(200,202), but actually found 401
REQUEST	5		requestAggregation_some_products	1598539969975	1598539970006	KO	status.find.in(200,202), but actually found 401
REQUEST	1		login	1598539969937	1598539970015	OK	 
REQUEST	4		requestAggregation_some_products	1598539969955	1598539969988	KO	status.find.in(200,202), but actually found 401
USER	AggRestSimulationSomeProducts	9	START	1598539970077	1598539970077
USER	AggRestSimulationSomeProducts	5	END	1598539969974	1598539970081
USER	AggRestSimulationSomeProducts	3	END	1598539969923	1598539970082
USER	AggRestSimulationSomeProducts	7	END	1598539970025	1598539970082
USER	AggRestSimulationSomeProducts	4	END	1598539969953	1598539970082
USER	AggRestSimulationLogin	1	END	1598539969899	1598539970082
USER	AggRestSimulationSomeProducts	6	END	1598539969994	1598539970084
USER	AggRestSimulationSomeProducts	2	END	1598539969901	1598539970085
REQUEST	8		requestAggregation_some_products	1598539970047	1598539970084	KO	status.find.in(200,202), but actually found 401
USER	AggRestSimulationSomeProducts	8	END	1598539970045	1598539970087
USER	AggRestSimulationSomeProducts	10	START	1598539970091	1598539970091
USER	AggRestSimulationSomeProducts	11	START	1598539970132	1598539970132
USER	AggRestSimulationSomeProducts	12	START	1598539970161	1598539970161
USER	AggRestSimulationSomeProducts	13	START	1598539970182	1598539970182
USER	AggRestSimulationSomeProducts	14	START	1598539970202	1598539970202
USER	AggRestSimulationSomeProducts	15	START	1598539970233	1598539970233
USER	AggRestSimulationSomeProducts	16	START	1598539970254	1598539970254
USER	AggRestSimulationSomeProducts	17	START	1598539970285	1598539970285
REQUEST	9		requestAggregation_some_products	1598539970080	1598539970298	OK	 
USER	AggRestSimulationSomeProducts	18	START	1598539970305	1598539970305
REQUEST	11		requestAggregation_some_products	1598539970133	1598539970320	OK	 
USER	AggRestSimulationSomeProducts	19	START	1598539970322	1598539970322
REQUEST	10		requestAggregation_some_products	1598539970093	1598539970324	OK	 
REQUEST	13		requestAggregation_some_products	1598539970183	1598539970344	OK	 
USER	AggRestSimulationSomeProducts	20	START	1598539970353	1598539970353
USER	AggRestSimulationSomeProducts	21	START	1598539970374	1598539970374
REQUEST	14		requestAggregation_some_products	1598539970204	1598539970387	OK	 
USER	AggRestSimulationSomeProducts	22	START	1598539970405	1598539970405
USER	AggRestSimulationSomeProducts	23	START	1598539970426	1598539970426
REQUEST	12		requestAggregation_some_products	1598539970163	1598539970425	OK	 
USER	AggRestSimulationSomeProducts	24	START	1598539970446	1598539970446
REQUEST	16		requestAggregation_some_products	1598539970256	1598539970468	OK	 
USER	AggRestSimulationSomeProducts	25	START	1598539970472	1598539970472
USER	AggRestSimulationSomeProducts	26	START	1598539970494	1598539970494
REQUEST	15		requestAggregation_some_products	1598539970235	1598539970511	OK	 
