RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597308991735	 	3.3.1
REQUEST	45		requestAggregation_all_products	1597309006241	1597309006420	OK	 
USER	AggRestSimulationAllProducts	48	START	1597309006432	1597309006432
REQUEST	44		requestAggregation_all_products	1597309006186	1597309006471	OK	 
USER	AggRestSimulationAllProducts	49	START	1597309006498	1597309006498
REQUEST	46		requestAggregation_all_products	1597309006313	1597309006547	OK	 
USER	AggRestSimulationAllProducts	50	START	1597309006570	1597309006570
REQUEST	47		requestAggregation_all_products	1597309006382	1597309006590	OK	 
USER	AggRestSimulationAllProducts	51	START	1597309006632	1597309006632
USER	AggRestSimulationAllProducts	52	START	1597309006700	1597309006700
REQUEST	48		requestAggregation_all_products	1597309006433	1597309006718	OK	 
REQUEST	49		requestAggregation_all_products	1597309006500	1597309006732	OK	 
REQUEST	50		requestAggregation_all_products	1597309006571	1597309006738	OK	 
USER	AggRestSimulationAllProducts	53	START	1597309006771	1597309006771
USER	AggRestSimulationAllProducts	54	START	1597309006833	1597309006833
USER	AggRestSimulationAllProducts	55	START	1597309006898	1597309006898
REQUEST	51		requestAggregation_all_products	1597309006634	1597309006920	OK	 
REQUEST	52		requestAggregation_all_products	1597309006701	1597309006958	OK	 
USER	AggRestSimulationAllProducts	56	START	1597309006970	1597309006970
USER	AggRestSimulationAllProducts	57	START	1597309007033	1597309007033
REQUEST	55		requestAggregation_all_products	1597309006900	1597309007034	OK	 
REQUEST	53		requestAggregation_all_products	1597309006773	1597309007044	OK	 
REQUEST	54		requestAggregation_all_products	1597309006834	1597309007070	OK	 
USER	AggRestSimulationAllProducts	58	START	1597309007100	1597309007100
USER	AggRestSimulationAllProducts	59	START	1597309007172	1597309007172
REQUEST	56		requestAggregation_all_products	1597309006971	1597309007229	OK	 
USER	AggRestSimulationAllProducts	60	START	1597309007234	1597309007234
USER	AggRestSimulationAllProducts	61	START	1597309007300	1597309007300
REQUEST	57		requestAggregation_all_products	1597309007034	1597309007301	OK	 
USER	AggRestSimulationAllProducts	62	START	1597309007372	1597309007372
REQUEST	58		requestAggregation_all_products	1597309007103	1597309007381	OK	 
REQUEST	60		requestAggregation_all_products	1597309007235	1597309007381	OK	 
USER	AggRestSimulationAllProducts	63	START	1597309007434	1597309007434
REQUEST	59		requestAggregation_all_products	1597309007176	1597309007438	OK	 
USER	AggRestSimulationAllProducts	64	START	1597309007501	1597309007501
USER	AggRestSimulationAllProducts	65	START	1597309007563	1597309007563
REQUEST	61		requestAggregation_all_products	1597309007302	1597309007571	OK	 
REQUEST	64		requestAggregation_all_products	1597309007503	1597309007612	OK	 
USER	AggRestSimulationAllProducts	66	START	1597309007629	1597309007629
REQUEST	62		requestAggregation_all_products	1597309007373	1597309007694	OK	 
USER	AggRestSimulationAllProducts	67	START	1597309007702	1597309007702
REQUEST	63		requestAggregation_all_products	1597309007435	1597309007736	OK	 
REQUEST	65		requestAggregation_all_products	1597309007565	1597309007758	OK	 
USER	AggRestSimulationAllProducts	68	START	1597309007764	1597309007764
USER	AggRestSimulationAllProducts	69	START	1597309007832	1597309007832
REQUEST	66		requestAggregation_all_products	1597309007631	1597309007873	OK	 
USER	AggRestSimulationAllProducts	70	START	1597309007899	1597309007899
REQUEST	69		requestAggregation_all_products	1597309007833	1597309007933	OK	 
USER	AggRestSimulationAllProducts	71	START	1597309007961	1597309007961
REQUEST	67		requestAggregation_all_products	1597309007704	1597309007974	OK	 
REQUEST	68		requestAggregation_all_products	1597309007767	1597309008010	OK	 
USER	AggRestSimulationAllProducts	72	START	1597309008033	1597309008033
USER	AggRestSimulationAllProducts	73	START	1597309008099	1597309008099
REQUEST	70		requestAggregation_all_products	1597309007901	1597309008120	OK	 
USER	AggRestSimulationAllProducts	74	START	1597309008161	1597309008161
REQUEST	71		requestAggregation_all_products	1597309007962	1597309008215	OK	 
USER	AggRestSimulationAllProducts	75	START	1597309008233	1597309008233
REQUEST	74		requestAggregation_all_products	1597309008163	1597309008275	OK	 
USER	AggRestSimulationAllProducts	76	START	1597309008300	1597309008300
REQUEST	72		requestAggregation_all_products	1597309008033	1597309008315	OK	 
REQUEST	73		requestAggregation_all_products	1597309008100	1597309008331	OK	 
USER	AggRestSimulationAllProducts	77	START	1597309008362	1597309008362
USER	AggRestSimulationAllProducts	78	START	1597309008434	1597309008434
REQUEST	75		requestAggregation_all_products	1597309008234	1597309008465	OK	 
REQUEST	76		requestAggregation_all_products	1597309008302	1597309008494	OK	 
USER	AggRestSimulationAllProducts	79	START	1597309008507	1597309008507
USER	AggRestSimulationAllProducts	80	START	1597309008563	1597309008563
REQUEST	77		requestAggregation_all_products	1597309008363	1597309008582	OK	 
REQUEST	79		requestAggregation_all_products	1597309008511	1597309008626	OK	 
USER	AggRestSimulationAllProducts	81	START	1597309008629	1597309008629
REQUEST	78		requestAggregation_all_products	1597309008436	1597309008691	OK	 
USER	AggRestSimulationAllProducts	82	START	1597309008701	1597309008701
USER	AggRestSimulationAllProducts	83	START	1597309008763	1597309008763
REQUEST	80		requestAggregation_all_products	1597309008564	1597309008790	OK	 
USER	AggRestSimulationAllProducts	84	START	1597309008830	1597309008830
REQUEST	81		requestAggregation_all_products	1597309008630	1597309008879	OK	 
USER	AggRestSimulationAllProducts	85	START	1597309008903	1597309008903
REQUEST	82		requestAggregation_all_products	1597309008702	1597309008927	OK	 
REQUEST	84		requestAggregation_all_products	1597309008834	1597309008927	OK	 
USER	AggRestSimulationAllProducts	86	START	1597309008959	1597309008959
REQUEST	83		requestAggregation_all_products	1597309008764	1597309009011	OK	 
USER	AggRestSimulationAllProducts	87	START	1597309009031	1597309009031
USER	AggRestSimulationAllProducts	88	START	1597309009099	1597309009099
REQUEST	85		requestAggregation_all_products	1597309008906	1597309009101	OK	 
REQUEST	86		requestAggregation_all_products	1597309008963	1597309009109	OK	 
USER	AggRestSimulationAllProducts	89	START	1597309009161	1597309009161
USER	AggRestSimulationAllProducts	90	START	1597309009228	1597309009228
REQUEST	87		requestAggregation_all_products	1597309009034	1597309009271	OK	 
REQUEST	89		requestAggregation_all_products	1597309009162	1597309009279	OK	 
REQUEST	88		requestAggregation_all_products	1597309009100	1597309009290	OK	 
USER	AggRestSimulationAllProducts	91	START	1597309009301	1597309009301
USER	AggRestSimulationAllProducts	92	START	1597309009363	1597309009363
REQUEST	90		requestAggregation_all_products	1597309009230	1597309009419	OK	 
USER	AggRestSimulationAllProducts	93	START	1597309009429	1597309009429
REQUEST	91		requestAggregation_all_products	1597309009302	1597309009433	OK	 
USER	AggRestSimulationAllProducts	94	START	1597309009501	1597309009501
REQUEST	92		requestAggregation_all_products	1597309009364	1597309009552	OK	 
USER	AggRestSimulationAllProducts	95	START	1597309009563	1597309009563
REQUEST	94		requestAggregation_all_products	1597309009503	1597309009611	OK	 
USER	AggRestSimulationAllProducts	96	START	1597309009630	1597309009630
REQUEST	93		requestAggregation_all_products	1597309009430	1597309009649	OK	 
REQUEST	95		requestAggregation_all_products	1597309009566	1597309009673	OK	 
USER	AggRestSimulationAllProducts	97	START	1597309009703	1597309009703
USER	AggRestSimulationAllProducts	98	START	1597309009759	1597309009759
REQUEST	96		requestAggregation_all_products	1597309009633	1597309009801	OK	 
USER	AggRestSimulationAllProducts	99	START	1597309009831	1597309009831
REQUEST	97		requestAggregation_all_products	1597309009703	1597309009865	OK	 
REQUEST	98		requestAggregation_all_products	1597309009761	1597309009865	OK	 
USER	AggRestSimulationAllProducts	100	START	1597309009902	1597309009902
USER	AggRestSimulationAllProducts	101	START	1597309009963	1597309009963
REQUEST	100		requestAggregation_all_products	1597309009904	1597309010029	OK	 
REQUEST	99		requestAggregation_all_products	1597309009832	1597309010030	OK	 
USER	AggRestSimulationAllProducts	102	START	1597309010031	1597309010031
USER	AggRestSimulationAllProducts	103	START	1597309010104	1597309010104
USER	AggRestSimulationAllProducts	104	START	1597309010160	1597309010160
REQUEST	101		requestAggregation_all_products	1597309009967	1597309010162	OK	 
REQUEST	102		requestAggregation_all_products	1597309010032	1597309010199	OK	 
REQUEST	103		requestAggregation_all_products	1597309010107	1597309010215	OK	 
USER	AggRestSimulationAllProducts	105	START	1597309010231	1597309010231
USER	AggRestSimulationAllProducts	106	START	1597309010303	1597309010303
REQUEST	104		requestAggregation_all_products	1597309010161	1597309010312	OK	 
USER	AggRestSimulationAllProducts	107	START	1597309010359	1597309010359
REQUEST	105		requestAggregation_all_products	1597309010232	1597309010361	OK	 
USER	AggRestSimulationAllProducts	108	START	1597309010432	1597309010432
REQUEST	106		requestAggregation_all_products	1597309010305	1597309010492	OK	 
USER	AggRestSimulationAllProducts	109	START	1597309010503	1597309010503
REQUEST	108		requestAggregation_all_products	1597309010433	1597309010526	OK	 
USER	AggRestSimulationAllProducts	110	START	1597309010570	1597309010570
REQUEST	107		requestAggregation_all_products	1597309010361	1597309010608	OK	 
USER	AggRestSimulationAllProducts	111	START	1597309010632	1597309010632
REQUEST	110		requestAggregation_all_products	1597309010572	1597309010687	OK	 
USER	AggRestSimulationAllProducts	112	START	1597309010699	1597309010699
REQUEST	109		requestAggregation_all_products	1597309010504	1597309010735	OK	 
USER	AggRestSimulationAllProducts	113	START	1597309010771	1597309010771
USER	AggRestSimulationAllProducts	114	START	1597309010834	1597309010834
REQUEST	111		requestAggregation_all_products	1597309010635	1597309010853	OK	 
USER	AggRestSimulationAllProducts	115	START	1597309010900	1597309010900
REQUEST	113		requestAggregation_all_products	1597309010773	1597309010902	OK	 
REQUEST	112		requestAggregation_all_products	1597309010701	1597309010922	OK	 
USER	AggRestSimulationAllProducts	116	START	1597309010973	1597309010973
REQUEST	115		requestAggregation_all_products	1597309010904	1597309011009	OK	 
REQUEST	114		requestAggregation_all_products	1597309010837	1597309011016	OK	 
USER	AggRestSimulationAllProducts	117	START	1597309011029	1597309011029
USER	AggRestSimulationAllProducts	118	START	1597309011102	1597309011102
REQUEST	116		requestAggregation_all_products	1597309010974	1597309011140	OK	 
REQUEST	117		requestAggregation_all_products	1597309011031	1597309011161	OK	 
USER	AggRestSimulationAllProducts	119	START	1597309011168	1597309011168
REQUEST	118		requestAggregation_all_products	1597309011104	1597309011203	OK	 
USER	AggRestSimulationAllProducts	120	START	1597309011230	1597309011230
USER	AggRestSimulationAllProducts	121	START	1597309011302	1597309011302
REQUEST	119		requestAggregation_all_products	1597309011169	1597309011327	OK	 
REQUEST	120		requestAggregation_all_products	1597309011233	1597309011350	OK	 
USER	AggRestSimulationAllProducts	122	START	1597309011374	1597309011374
USER	AggRestSimulationAllProducts	123	START	1597309011419	1597309011419
USER	AggRestSimulationAllProducts	124	START	1597309011480	1597309011480
REQUEST	121		requestAggregation_all_products	1597309011303	1597309011494	OK	 
REQUEST	122		requestAggregation_all_products	1597309011374	1597309011522	OK	 
REQUEST	123		requestAggregation_all_products	1597309011420	1597309011538	OK	 
USER	AggRestSimulationAllProducts	125	START	1597309011552	1597309011552
USER	AggRestSimulationAllProducts	126	START	1597309011619	1597309011619
REQUEST	124		requestAggregation_all_products	1597309011481	1597309011659	OK	 
USER	AggRestSimulationAllProducts	127	START	1597309011681	1597309011681
USER	AggRestSimulationAllProducts	128	START	1597309011753	1597309011753
REQUEST	126		requestAggregation_all_products	1597309011628	1597309011769	OK	 
REQUEST	125		requestAggregation_all_products	1597309011553	1597309011777	OK	 
REQUEST	127		requestAggregation_all_products	1597309011683	1597309011782	OK	 
USER	AggRestSimulationAllProducts	129	START	1597309011819	1597309011819
USER	AggRestSimulationAllProducts	130	START	1597309011880	1597309011880
