RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1598540231290	 	3.3.1
USER	AggRestSimulationSomeProducts	46	START	1598540233698	1598540233698
REQUEST	30		requestAggregation_some_products	1598540233381	1598540233704	OK	 
USER	AggRestSimulationSomeProducts	47	START	1598540233719	1598540233719
REQUEST	37		requestAggregation_some_products	1598540233519	1598540233731	OK	 
USER	AggRestSimulationSomeProducts	48	START	1598540233740	1598540233740
USER	AggRestSimulationSomeProducts	49	START	1598540233760	1598540233760
USER	AggRestSimulationSomeProducts	50	START	1598540233781	1598540233781
REQUEST	34		requestAggregation_some_products	1598540233459	1598540233787	OK	 
USER	AggRestSimulationSomeProducts	51	START	1598540233802	1598540233802
USER	AggRestSimulationSomeProducts	52	START	1598540233817	1598540233817
USER	AggRestSimulationSomeProducts	53	START	1598540233837	1598540233837
REQUEST	39		requestAggregation_some_products	1598540233561	1598540233846	OK	 
REQUEST	32		requestAggregation_some_products	1598540233423	1598540233849	OK	 
USER	AggRestSimulationSomeProducts	54	START	1598540233865	1598540233865
REQUEST	36		requestAggregation_some_products	1598540233500	1598540233872	OK	 
USER	AggRestSimulationSomeProducts	55	START	1598540233877	1598540233877
REQUEST	41		requestAggregation_some_products	1598540233602	1598540233887	OK	 
USER	AggRestSimulationSomeProducts	56	START	1598540233897	1598540233897
REQUEST	45		requestAggregation_some_products	1598540233678	1598540233911	OK	 
USER	AggRestSimulationSomeProducts	57	START	1598540233918	1598540233918
USER	AggRestSimulationSomeProducts	58	START	1598540233939	1598540233939
USER	AggRestSimulationSomeProducts	59	START	1598540233960	1598540233960
REQUEST	43		requestAggregation_some_products	1598540233637	1598540233966	OK	 
USER	AggRestSimulationSomeProducts	60	START	1598540233980	1598540233980
REQUEST	38		requestAggregation_some_products	1598540233541	1598540233983	OK	 
REQUEST	40		requestAggregation_some_products	1598540233582	1598540233988	OK	 
USER	AggRestSimulationSomeProducts	61	START	1598540234001	1598540234001
USER	AggRestSimulationSomeProducts	62	START	1598540234022	1598540234022
USER	AggRestSimulationSomeProducts	63	START	1598540234036	1598540234036
REQUEST	49		requestAggregation_some_products	1598540233762	1598540234037	OK	 
REQUEST	47		requestAggregation_some_products	1598540233721	1598540234040	OK	 
REQUEST	51		requestAggregation_some_products	1598540233804	1598540234050	OK	 
USER	AggRestSimulationSomeProducts	64	START	1598540234062	1598540234062
REQUEST	42		requestAggregation_some_products	1598540233624	1598540234062	OK	 
USER	AggRestSimulationSomeProducts	65	START	1598540234077	1598540234077
REQUEST	44		requestAggregation_some_products	1598540233658	1598540234076	OK	 
USER	AggRestSimulationSomeProducts	66	START	1598540234097	1598540234097
REQUEST	55		requestAggregation_some_products	1598540233878	1598540234116	OK	 
USER	AggRestSimulationSomeProducts	67	START	1598540234118	1598540234118
REQUEST	46		requestAggregation_some_products	1598540233699	1598540234118	OK	 
REQUEST	48		requestAggregation_some_products	1598540233741	1598540234120	OK	 
REQUEST	57		requestAggregation_some_products	1598540233920	1598540234123	OK	 
USER	AggRestSimulationSomeProducts	68	START	1598540234139	1598540234139
REQUEST	52		requestAggregation_some_products	1598540233819	1598540234140	OK	 
REQUEST	53		requestAggregation_some_products	1598540233839	1598540234151	OK	 
USER	AggRestSimulationSomeProducts	69	START	1598540234160	1598540234160
REQUEST	50		requestAggregation_some_products	1598540233783	1598540234170	OK	 
USER	AggRestSimulationSomeProducts	70	START	1598540234180	1598540234180
REQUEST	61		requestAggregation_some_products	1598540234003	1598540234182	OK	 
REQUEST	59		requestAggregation_some_products	1598540233962	1598540234182	OK	 
REQUEST	54		requestAggregation_some_products	1598540233868	1598540234192	OK	 
USER	AggRestSimulationSomeProducts	71	START	1598540234201	1598540234201
USER	AggRestSimulationSomeProducts	72	START	1598540234221	1598540234221
