RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597401009633	 	3.3.1
USER	AggRestSimulationLogin	1	START	1597401012621	1597401012621
REQUEST	1		login	1597401012808	1597401015211	OK	 
USER	AggRestSimulationLogin	1	END	1597401012621	1597401015679
USER	AggRestSimulationAllProducts	2	START	1597401022563	1597401022563
USER	AggRestSimulationAllProducts	3	START	1597401022631	1597401022631
USER	AggRestSimulationAllProducts	4	START	1597401022692	1597401022692
USER	AggRestSimulationAllProducts	5	START	1597401022764	1597401022764
USER	AggRestSimulationAllProducts	6	START	1597401022825	1597401022825
USER	AggRestSimulationAllProducts	7	START	1597401022891	1597401022891
USER	AggRestSimulationAllProducts	8	START	1597401022963	1597401022963
USER	AggRestSimulationAllProducts	9	START	1597401023025	1597401023025
USER	AggRestSimulationAllProducts	10	START	1597401023091	1597401023091
USER	AggRestSimulationAllProducts	11	START	1597401023163	1597401023163
USER	AggRestSimulationAllProducts	12	START	1597401023224	1597401023224
USER	AggRestSimulationAllProducts	13	START	1597401023295	1597401023295
USER	AggRestSimulationAllProducts	14	START	1597401023366	1597401023366
REQUEST	3		requestAggregation_all_products	1597401022635	1597401023387	OK	 
USER	AggRestSimulationAllProducts	15	START	1597401023422	1597401023422
REQUEST	8		requestAggregation_all_products	1597401022964	1597401023429	OK	 
USER	AggRestSimulationAllProducts	16	START	1597401023494	1597401023494
REQUEST	6		requestAggregation_all_products	1597401022827	1597401023458	OK	 
REQUEST	5		requestAggregation_all_products	1597401022765	1597401023493	OK	 
USER	AggRestSimulationAllProducts	17	START	1597401023566	1597401023566
USER	AggRestSimulationAllProducts	18	START	1597401023622	1597401023622
USER	AggRestSimulationAllProducts	19	START	1597401023704	1597401023704
USER	AggRestSimulationAllProducts	20	START	1597401023776	1597401023776
USER	AggRestSimulationAllProducts	21	START	1597401023832	1597401023832
USER	AggRestSimulationAllProducts	22	START	1597401023905	1597401023905
USER	AggRestSimulationAllProducts	23	START	1597401023971	1597401023971
USER	AggRestSimulationAllProducts	24	START	1597401024032	1597401024032
REQUEST	10		requestAggregation_all_products	1597401023093	1597401023497	OK	 
REQUEST	11		requestAggregation_all_products	1597401023164	1597401023505	OK	 
USER	AggRestSimulationAllProducts	25	START	1597401024104	1597401024104
USER	AggRestSimulationAllProducts	26	START	1597401024176	1597401024176
USER	AggRestSimulationAllProducts	27	START	1597401024231	1597401024231
USER	AggRestSimulationAllProducts	28	START	1597401024303	1597401024303
USER	AggRestSimulationAllProducts	29	START	1597401024375	1597401024375
USER	AggRestSimulationAllProducts	30	START	1597401024436	1597401024436
USER	AggRestSimulationAllProducts	31	START	1597401024502	1597401024502
USER	AggRestSimulationAllProducts	32	START	1597401024574	1597401024574
USER	AggRestSimulationAllProducts	33	START	1597401024631	1597401024631
USER	AggRestSimulationAllProducts	34	START	1597401024683	1597401024683
USER	AggRestSimulationAllProducts	35	START	1597401024754	1597401024754
USER	AggRestSimulationAllProducts	36	START	1597401024821	1597401024821
REQUEST	13		requestAggregation_all_products	1597401023297	1597401023550	OK	 
REQUEST	4		requestAggregation_all_products	1597401022694	1597401023546	OK	 
USER	AggRestSimulationAllProducts	37	START	1597401024883	1597401024883
USER	AggRestSimulationAllProducts	38	START	1597401024954	1597401024954
USER	AggRestSimulationAllProducts	39	START	1597401025021	1597401025021
USER	AggRestSimulationAllProducts	40	START	1597401025082	1597401025082
USER	AggRestSimulationAllProducts	41	START	1597401025154	1597401025154
USER	AggRestSimulationAllProducts	42	START	1597401025226	1597401025226
USER	AggRestSimulationAllProducts	43	START	1597401025282	1597401025282
USER	AggRestSimulationAllProducts	44	START	1597401025354	1597401025354
REQUEST	9		requestAggregation_all_products	1597401023026	1597401023562	OK	 
REQUEST	14		requestAggregation_all_products	1597401023368	1597401023583	OK	 
USER	AggRestSimulationAllProducts	45	START	1597401025425	1597401025425
USER	AggRestSimulationAllProducts	46	START	1597401025482	1597401025482
USER	AggRestSimulationAllProducts	47	START	1597401025554	1597401025554
REQUEST	15		requestAggregation_all_products	1597401023425	1597401023619	OK	 
REQUEST	16		requestAggregation_all_products	1597401023496	1597401023623	OK	 
USER	AggRestSimulationAllProducts	48	START	1597401025626	1597401025626
USER	AggRestSimulationAllProducts	49	START	1597401025693	1597401025693
USER	AggRestSimulationAllProducts	50	START	1597401025765	1597401025765
USER	AggRestSimulationAllProducts	51	START	1597401025832	1597401025832
REQUEST	12		requestAggregation_all_products	1597401023226	1597401023655	OK	 
REQUEST	7		requestAggregation_all_products	1597401022894	1597401023655	OK	 
USER	AggRestSimulationAllProducts	52	START	1597401025894	1597401025894
USER	AggRestSimulationAllProducts	53	START	1597401025966	1597401025966
USER	AggRestSimulationAllProducts	54	START	1597401026032	1597401026032
REQUEST	2		requestAggregation_all_products	1597401022579	1597401023749	OK	 
REQUEST	19		requestAggregation_all_products	1597401023706	1597401023825	OK	 
USER	AggRestSimulationAllProducts	55	START	1597401026094	1597401026094
USER	AggRestSimulationAllProducts	56	START	1597401026166	1597401026166
USER	AggRestSimulationAllProducts	57	START	1597401026233	1597401026233
REQUEST	17		requestAggregation_all_products	1597401023569	1597401023848	OK	 
REQUEST	21		requestAggregation_all_products	1597401023835	1597401023971	OK	 
USER	AggRestSimulationAllProducts	58	START	1597401026294	1597401026294
USER	AggRestSimulationAllProducts	59	START	1597401026366	1597401026366
USER	AggRestSimulationAllProducts	60	START	1597401026432	1597401026432
USER	AggRestSimulationAllProducts	61	START	1597401026493	1597401026493
REQUEST	22		requestAggregation_all_products	1597401023907	1597401024047	OK	 
REQUEST	24		requestAggregation_all_products	1597401024035	1597401024172	OK	 
USER	AggRestSimulationAllProducts	62	START	1597401026566	1597401026566
USER	AggRestSimulationAllProducts	63	START	1597401026632	1597401026632
USER	AggRestSimulationAllProducts	64	START	1597401026704	1597401026704
USER	AggRestSimulationAllProducts	65	START	1597401026775	1597401026775
REQUEST	27		requestAggregation_all_products	1597401024233	1597401024370	OK	 
REQUEST	26		requestAggregation_all_products	1597401024178	1597401024380	OK	 
USER	AggRestSimulationAllProducts	66	START	1597401026832	1597401026832
USER	AggRestSimulationAllProducts	67	START	1597401026904	1597401026904
USER	AggRestSimulationAllProducts	68	START	1597401026972	1597401026972
USER	AggRestSimulationAllProducts	69	START	1597401027033	1597401027033
REQUEST	29		requestAggregation_all_products	1597401024377	1597401024978	OK	 
REQUEST	36		requestAggregation_all_products	1597401024823	1597401024992	OK	 
USER	AggRestSimulationAllProducts	70	START	1597401027105	1597401027105
USER	AggRestSimulationAllProducts	71	START	1597401027171	1597401027171
REQUEST	30		requestAggregation_all_products	1597401024438	1597401025523	OK	 
REQUEST	41		requestAggregation_all_products	1597401025156	1597401025504	OK	 
USER	AggRestSimulationAllProducts	72	START	1597401027232	1597401027232
REQUEST	32		requestAggregation_all_products	1597401024576	1597401025758	OK	 
REQUEST	31		requestAggregation_all_products	1597401024504	1597401025759	OK	 
USER	AggRestSimulationAllProducts	73	START	1597401027304	1597401027304
USER	AggRestSimulationAllProducts	74	START	1597401027371	1597401027371
REQUEST	28		requestAggregation_all_products	1597401024305	1597401025979	OK	 
REQUEST	23		requestAggregation_all_products	1597401023973	1597401025979	OK	 
USER	AggRestSimulationAllProducts	75	START	1597401027433	1597401027433
USER	AggRestSimulationAllProducts	76	START	1597401027506	1597401027506
USER	AggRestSimulationAllProducts	77	START	1597401027572	1597401027572
USER	AggRestSimulationAllProducts	78	START	1597401027633	1597401027633
USER	AggRestSimulationAllProducts	79	START	1597401027705	1597401027705
REQUEST	18		requestAggregation_all_products	1597401023624	1597401026087	OK	 
REQUEST	35		requestAggregation_all_products	1597401024756	1597401026209	OK	 
USER	AggRestSimulationAllProducts	80	START	1597401027761	1597401027761
USER	AggRestSimulationAllProducts	81	START	1597401027834	1597401027834
USER	AggRestSimulationAllProducts	82	START	1597401027905	1597401027905
USER	AggRestSimulationAllProducts	83	START	1597401027962	1597401027962
REQUEST	37		requestAggregation_all_products	1597401024886	1597401026378	OK	 
REQUEST	33		requestAggregation_all_products	1597401024633	1597401026417	OK	 
USER	AggRestSimulationAllProducts	84	START	1597401028034	1597401028034
USER	AggRestSimulationAllProducts	85	START	1597401028105	1597401028105
USER	AggRestSimulationAllProducts	86	START	1597401028162	1597401028162
USER	AggRestSimulationAllProducts	87	START	1597401028233	1597401028233
USER	AggRestSimulationAllProducts	88	START	1597401028305	1597401028305
USER	AggRestSimulationAllProducts	89	START	1597401028362	1597401028362
REQUEST	54		requestAggregation_all_products	1597401026034	1597401026642	OK	 
REQUEST	40		requestAggregation_all_products	1597401025084	1597401026644	OK	 
USER	AggRestSimulationAllProducts	90	START	1597401028433	1597401028433
USER	AggRestSimulationAllProducts	91	START	1597401028504	1597401028504
USER	AggRestSimulationAllProducts	92	START	1597401028566	1597401028566
USER	AggRestSimulationAllProducts	93	START	1597401028632	1597401028632
USER	AggRestSimulationAllProducts	94	START	1597401028704	1597401028704
USER	AggRestSimulationAllProducts	95	START	1597401028776	1597401028776
REQUEST	42		requestAggregation_all_products	1597401025227	1597401026932	OK	 
REQUEST	59		requestAggregation_all_products	1597401026368	1597401026932	OK	 
USER	AggRestSimulationAllProducts	96	START	1597401028832	1597401028832
USER	AggRestSimulationAllProducts	97	START	1597401028903	1597401028903
USER	AggRestSimulationAllProducts	98	START	1597401028971	1597401028971
USER	AggRestSimulationAllProducts	99	START	1597401029033	1597401029033
USER	AggRestSimulationAllProducts	100	START	1597401029104	1597401029104
REQUEST	25		requestAggregation_all_products	1597401024106	1597401027218	OK	 
REQUEST	20		requestAggregation_all_products	1597401023780	1597401027104	OK	 
USER	AggRestSimulationAllProducts	101	START	1597401029176	1597401029176
USER	AggRestSimulationAllProducts	102	START	1597401029232	1597401029232
USER	AggRestSimulationAllProducts	103	START	1597401029303	1597401029303
USER	AggRestSimulationAllProducts	104	START	1597401029375	1597401029375
USER	AggRestSimulationAllProducts	105	START	1597401029436	1597401029436
USER	AggRestSimulationAllProducts	106	START	1597401029503	1597401029503
REQUEST	46		requestAggregation_all_products	1597401025483	1597401027218	OK	 
REQUEST	61		requestAggregation_all_products	1597401026495	1597401027232	OK	 
USER	AggRestSimulationAllProducts	107	START	1597401029575	1597401029575
USER	AggRestSimulationAllProducts	108	START	1597401029632	1597401029632
USER	AggRestSimulationAllProducts	109	START	1597401029703	1597401029703
USER	AggRestSimulationAllProducts	110	START	1597401029775	1597401029775
USER	AggRestSimulationAllProducts	111	START	1597401029831	1597401029831
REQUEST	48		requestAggregation_all_products	1597401025629	1597401027285	OK	 
REQUEST	47		requestAggregation_all_products	1597401025555	1597401027285	OK	 
USER	AggRestSimulationAllProducts	112	START	1597401029903	1597401029903
USER	AggRestSimulationAllProducts	113	START	1597401029975	1597401029975
USER	AggRestSimulationAllProducts	114	START	1597401030031	1597401030031
USER	AggRestSimulationAllProducts	115	START	1597401030103	1597401030103
USER	AggRestSimulationAllProducts	116	START	1597401030176	1597401030176
REQUEST	44		requestAggregation_all_products	1597401025355	1597401027406	OK	 
REQUEST	39		requestAggregation_all_products	1597401025024	1597401027406	OK	 
USER	AggRestSimulationAllProducts	117	START	1597401030232	1597401030232
USER	AggRestSimulationAllProducts	118	START	1597401030305	1597401030305
USER	AggRestSimulationAllProducts	119	START	1597401030376	1597401030376
USER	AggRestSimulationAllProducts	120	START	1597401030432	1597401030432
REQUEST	51		requestAggregation_all_products	1597401025834	1597401027761	OK	 
REQUEST	50		requestAggregation_all_products	1597401025768	1597401027878	OK	 
USER	AggRestSimulationAllProducts	121	START	1597401030504	1597401030504
USER	AggRestSimulationAllProducts	122	START	1597401030576	1597401030576
USER	AggRestSimulationAllProducts	123	START	1597401030633	1597401030633
USER	AggRestSimulationAllProducts	124	START	1597401030704	1597401030704
USER	AggRestSimulationAllProducts	125	START	1597401030776	1597401030776
REQUEST	49		requestAggregation_all_products	1597401025696	1597401028008	OK	 
REQUEST	53		requestAggregation_all_products	1597401025968	1597401028008	OK	 
USER	AggRestSimulationAllProducts	126	START	1597401030831	1597401030831
USER	AggRestSimulationAllProducts	127	START	1597401030903	1597401030903
USER	AggRestSimulationAllProducts	128	START	1597401030975	1597401030975
USER	AggRestSimulationAllProducts	129	START	1597401031031	1597401031031
USER	AggRestSimulationAllProducts	130	START	1597401031102	1597401031102
USER	AggRestSimulationAllProducts	131	START	1597401031174	1597401031174
REQUEST	56		requestAggregation_all_products	1597401026168	1597401028375	OK	 
REQUEST	38		requestAggregation_all_products	1597401024956	1597401028375	OK	 
USER	AggRestSimulationAllProducts	132	START	1597401031236	1597401031236
USER	AggRestSimulationAllProducts	133	START	1597401031301	1597401031301
USER	AggRestSimulationAllProducts	134	START	1597401031374	1597401031374
USER	AggRestSimulationAllProducts	135	START	1597401031435	1597401031435
USER	AggRestSimulationAllProducts	136	START	1597401031502	1597401031502
USER	AggRestSimulationAllProducts	137	START	1597401031574	1597401031574
REQUEST	43		requestAggregation_all_products	1597401025283	1597401028823	OK	 
REQUEST	58		requestAggregation_all_products	1597401026296	1597401028823	OK	 
USER	AggRestSimulationAllProducts	138	START	1597401031636	1597401031636
USER	AggRestSimulationAllProducts	139	START	1597401031692	1597401031692
USER	AggRestSimulationAllProducts	140	START	1597401031764	1597401031764
USER	AggRestSimulationAllProducts	141	START	1597401031836	1597401031836
USER	AggRestSimulationAllProducts	142	START	1597401031893	1597401031893
REQUEST	57		requestAggregation_all_products	1597401026234	1597401029226	OK	 
REQUEST	84		requestAggregation_all_products	1597401028035	1597401029242	OK	 
USER	AggRestSimulationAllProducts	143	START	1597401031965	1597401031965
USER	AggRestSimulationAllProducts	144	START	1597401032031	1597401032031
